,Actual,Forecasted
144,223.52999877929688,223.1737696971718
145,223.44000244140625,221.7989408837872
146,223.44259643554688,222.14448374032926
147,223.4346923828125,222.72670716287388
148,223.49989318847656,221.9013145072886
149,223.3802032470703,222.60001942636444
150,223.25999450683594,221.84856823814076
151,223.25,223.04743523245097
152,223.22999572753906,222.29580045809226
153,223.3300018310547,222.03600828851785
154,223.3699951171875,223.12584308528534
155,223.36000061035156,222.99321753038578
156,223.4571075439453,221.23966925359815
157,223.27999877929688,222.42119871719478
158,223.08999633789062,223.4773524362025
159,223.1199951171875,222.9268494750791
160,223.21499633789062,222.61281248642345
161,223.24000549316406,222.82686657277864
162,223.30999755859375,222.63159796527597
163,223.22999572753906,221.01016596670837
164,223.25999450683594,221.94942566067138
165,223.32000732421875,221.26266525352924
166,223.33999633789062,223.3713501762157
167,223.3699951171875,222.56800699876877
168,223.39500427246094,223.57109910143288
169,223.37399291992188,224.02021500489397
170,223.4600067138672,222.3824317112705
171,223.42999267578125,222.73287538358505
172,223.3800048828125,222.60712937564975
173,223.47000122070312,222.06756967622724
174,223.4199981689453,222.7383510493725
175,223.4199981689453,222.7400292811142
176,223.3800048828125,223.65779761147772
177,223.32000732421875,222.20503655931128
178,223.3699951171875,223.5692664942568
179,223.25999450683594,220.91715010767618
180,223.32000732421875,222.4960866768281
181,223.3000030517578,223.00688212042073
182,223.27999877929688,222.39918910209576
183,223.27000427246094,221.77829644711127
184,223.44000244140625,222.70055651442965
185,223.4600067138672,223.12710300837276
186,223.62899780273438,222.3580794802417
187,223.77999877929688,222.1738069364218
188,223.77999877929688,222.07331321248662
189,223.8603057861328,221.17013167437977
190,223.94000244140625,222.54922770579918
191,223.91000366210938,222.8846031191266
192,223.8300018310547,222.0528271197885
193,223.83999633789062,222.20078838498142
194,223.88999938964844,223.006521086388
195,223.8800048828125,223.10155387576663
196,223.92100524902344,220.95957596157348
197,223.92599487304688,222.2303686174557
198,223.94009399414062,223.5088044837777
199,223.91000366210938,223.2380565173849
200,223.9250030517578,221.7551854299936
201,223.97000122070312,222.54176883333344
202,223.99000549316406,221.99088649905997
203,223.9600067138672,221.70306488181296
204,223.88999938964844,221.69604546923193
205,223.7899932861328,223.07938869540524
206,223.8000030517578,222.801104653479
