time,Open
2024-09-12 16:02:00,222.78
2024-09-12 16:03:00,222.67
2024-09-12 16:04:00,222.58
2024-09-12 16:05:00,222.5618
2024-09-12 16:06:00,222.54
2024-09-12 16:07:00,222.63
2024-09-12 16:08:00,222.54
2024-09-12 16:09:00,222.45
2024-09-12 16:10:00,222.49
2024-09-12 16:11:00,
2024-09-12 16:12:00,
2024-09-12 16:13:00,222.48
2024-09-12 16:14:00,222.455
2024-09-12 16:15:00,222.77
2024-09-12 16:16:00,222.43
2024-09-12 16:17:00,222.44
2024-09-12 16:18:00,222.43
2024-09-12 16:19:00,222.44
2024-09-12 16:20:00,222.77
2024-09-12 16:21:00,222.3619
2024-09-12 16:22:00,222.47
2024-09-12 16:23:00,222.47
2024-09-12 16:24:00,222.44
2024-09-12 16:25:00,222.455
2024-09-12 16:26:00,222.465
2024-09-12 16:27:00,222.445
2024-09-12 16:28:00,222.4419
2024-09-12 16:29:00,222.56
2024-09-12 16:30:00,222.569
2024-09-12 16:31:00,222.56
2024-09-12 16:32:00,222.5
2024-09-12 16:33:00,222.46
2024-09-12 16:34:00,222.49
2024-09-12 16:35:00,222.5
2024-09-12 16:36:00,222.4
2024-09-12 16:37:00,222.42
2024-09-12 16:38:00,222.4
2024-09-12 16:39:00,222.38
2024-09-12 16:40:00,222.375
2024-09-12 16:41:00,222.36
2024-09-12 16:42:00,222.38
2024-09-12 16:43:00,222.41
2024-09-12 16:44:00,222.3671
2024-09-12 16:45:00,222.465
2024-09-12 16:46:00,222.41
2024-09-12 16:47:00,222.33
2024-09-12 16:48:00,222.39
2024-09-12 16:49:00,222.39
2024-09-12 16:50:00,222.275
2024-09-12 16:51:00,222.26
2024-09-12 16:52:00,222.185
2024-09-12 16:53:00,222.362
2024-09-12 16:54:00,222.2
2024-09-12 16:55:00,222.27
2024-09-12 16:56:00,222.225
2024-09-12 16:57:00,222.225
2024-09-12 16:58:00,222.25
2024-09-12 16:59:00,222.29
2024-09-12 17:00:00,222.46
2024-09-12 17:01:00,222.385
2024-09-12 17:02:00,222.37
2024-09-12 17:03:00,222.3312
2024-09-12 17:04:00,222.186
2024-09-12 17:05:00,222.245
2024-09-12 17:06:00,222.22
2024-09-12 17:07:00,222.26
2024-09-12 17:08:00,222.26
2024-09-12 17:09:00,222.25
2024-09-12 17:10:00,222.31
2024-09-12 17:11:00,222.26
2024-09-12 17:12:00,222.31
2024-09-12 17:13:00,222.345
2024-09-12 17:14:00,222.27
2024-09-12 17:15:00,222.28
2024-09-12 17:16:00,222.15
2024-09-12 17:17:00,222.18
2024-09-12 17:18:00,222.155
2024-09-12 17:19:00,222.15
2024-09-12 17:20:00,222.1955
2024-09-12 17:21:00,222.205
2024-09-12 17:22:00,222.29
2024-09-12 17:23:00,222.2
2024-09-12 17:24:00,222.205
2024-09-12 17:25:00,222.205
2024-09-12 17:26:00,222.2905
2024-09-12 17:27:00,222.13
2024-09-12 17:28:00,222.15
2024-09-12 17:29:00,222.15
2024-09-12 17:30:00,222.15
2024-09-12 17:31:00,222.14
2024-09-12 17:32:00,222.1
2024-09-12 17:33:00,222.135
2024-09-12 17:34:00,222.1008
2024-09-12 17:35:00,222.11
2024-09-12 17:36:00,222.1765
2024-09-12 17:37:00,222.17
2024-09-12 17:38:00,222.15
2024-09-12 17:39:00,222.125
2024-09-12 17:40:00,222.11
2024-09-12 17:41:00,222.11
2024-09-12 17:42:00,222.14
2024-09-12 17:43:00,222.15
2024-09-12 17:44:00,222.18
2024-09-12 17:45:00,222.08
2024-09-12 17:46:00,222.115
2024-09-12 17:47:00,222.11
2024-09-12 17:48:00,222.115
2024-09-12 17:49:00,222.08
2024-09-12 17:50:00,222.115
2024-09-12 17:51:00,222.1
2024-09-12 17:52:00,222.1475
2024-09-12 17:53:00,222.1272
2024-09-12 17:54:00,222.145
2024-09-12 17:55:00,222.18
2024-09-12 17:56:00,222.18
2024-09-12 17:57:00,222.17
2024-09-12 17:58:00,222.175
2024-09-12 17:59:00,222.2
2024-09-12 18:00:00,222.33
2024-09-12 18:01:00,222.38
2024-09-12 18:02:00,222.2
2024-09-12 18:03:00,222.3
2024-09-12 18:04:00,222.39
2024-09-12 18:05:00,222.23
2024-09-12 18:06:00,222.23
2024-09-12 18:07:00,222.35
2024-09-12 18:08:00,222.3
2024-09-12 18:09:00,222.219
2024-09-12 18:10:00,222.22
2024-09-12 18:11:00,222.21
2024-09-12 18:12:00,222.36
2024-09-12 18:13:00,222.42
2024-09-12 18:14:00,222.31
2024-09-12 18:15:00,222.37
2024-09-12 18:16:00,222.4491
2024-09-12 18:17:00,222.3
2024-09-12 18:18:00,222.375
2024-09-12 18:19:00,222.45
2024-09-12 18:20:00,222.4
2024-09-12 18:21:00,222.425
2024-09-12 18:22:00,222.41
2024-09-12 18:23:00,222.45
2024-09-12 18:24:00,222.475
2024-09-12 18:25:00,222.45
2024-09-12 18:26:00,222.5
2024-09-12 18:27:00,222.4
2024-09-12 18:28:00,222.65
2024-09-12 18:29:00,222.4695
2024-09-12 18:30:00,222.555
2024-09-12 18:31:00,222.555
2024-09-12 18:32:00,222.555
2024-09-12 18:33:00,222.58
2024-09-12 18:34:00,222.58
2024-09-12 18:35:00,222.555
2024-09-12 18:36:00,222.6405
2024-09-12 18:37:00,222.65
2024-09-12 18:38:00,222.645
2024-09-12 18:39:00,222.65
2024-09-12 18:40:00,222.58
2024-09-12 18:41:00,222.64
2024-09-12 18:42:00,222.65
2024-09-12 18:43:00,222.575
2024-09-12 18:44:00,222.575
2024-09-12 18:45:00,222.575
2024-09-12 18:46:00,222.6
2024-09-12 18:47:00,222.6
2024-09-12 18:48:00,222.725
2024-09-12 18:49:00,222.7012
2024-09-12 18:50:00,222.73
2024-09-12 18:51:00,222.749
2024-09-12 18:52:00,222.7378
2024-09-12 18:53:00,222.7385
2024-09-12 18:54:00,222.52
2024-09-12 18:55:00,222.63
2024-09-12 18:56:00,222.575
2024-09-12 18:57:00,222.74
2024-09-12 18:58:00,222.74
2024-09-12 18:59:00,222.645
2024-09-12 19:00:00,222.55
2024-09-12 19:01:00,222.6085
2024-09-12 19:02:00,222.62
2024-09-12 19:03:00,222.605
2024-09-12 19:04:00,222.61
2024-09-12 19:05:00,222.595
2024-09-12 19:06:00,222.59
2024-09-12 19:07:00,222.71
2024-09-12 19:08:00,222.77
2024-09-12 19:09:00,222.85
2024-09-12 19:10:00,222.8
2024-09-12 19:11:00,222.775
2024-09-12 19:12:00,222.775
2024-09-12 19:13:00,222.68
2024-09-12 19:14:00,222.66
2024-09-12 19:15:00,222.68
2024-09-12 19:16:00,222.59
2024-09-12 19:17:00,222.5995
2024-09-12 19:18:00,222.62
2024-09-12 19:19:00,222.77
2024-09-12 19:20:00,222.7688
2024-09-12 19:21:00,222.68
2024-09-12 19:22:00,222.73
2024-09-12 19:23:00,222.67
2024-09-12 19:24:00,222.665
2024-09-12 19:25:00,222.65
2024-09-12 19:26:00,222.695
2024-09-12 19:27:00,222.695
2024-09-12 19:28:00,222.7625
2024-09-12 19:29:00,222.805
2024-09-12 19:30:00,222.84
2024-09-12 19:31:00,222.81
2024-09-12 19:32:00,222.8288
2024-09-12 19:33:00,222.81
2024-09-12 19:34:00,222.77
2024-09-12 19:35:00,222.7
2024-09-12 19:36:00,222.7
2024-09-12 19:37:00,222.695
2024-09-12 19:38:00,222.72
2024-09-12 19:39:00,222.768
2024-09-12 19:40:00,222.755
2024-09-12 19:41:00,222.755
2024-09-12 19:42:00,222.775
2024-09-12 19:43:00,222.8
2024-09-12 19:44:00,222.8
2024-09-12 19:45:00,
2024-09-12 19:46:00,222.8
2024-09-12 19:47:00,222.8925
2024-09-12 19:48:00,222.8525
2024-09-12 19:49:00,222.88
2024-09-12 19:50:00,222.93
2024-09-12 19:51:00,222.9
2024-09-12 19:52:00,222.75
